salt_names,side_effects
  Albendazole ,"Vomiting, Nausea, Dizziness, Swelling of lymph nodes, Loss of appetite, Itching, Diarrhea, Increased liver enzymes"
  Clavulanic Acid ,"Nausea, Diarrhea, Vomiting"
  Dutasteride ,"Breast pain, Dizziness, Ejaculation disorder, Decreased libido, Impotence"
  Insulin Aspart Protamine ,"Lipodystrophy (skin thickening or pits at the injection site), Injection site allergic reaction, Itching, Rash, Hypoglycemia (low blood glucose level), Weight gain"
  Metformin ,"Vomiting, Nausea, Sore throat, Respiratory tract infection, Upset stomach, Hypoglycaemia (low blood sugar level) in combination with insulin or sulphonylurea, Nasal congestion (stuffy nose), Headache, Diarrhea"
  Tramadol ,"Vomiting, Nausea, Constipation, Dizziness, Dryness in mouth, Sleepiness, Weakness"
  Vildagliptin ,"Vomiting, Nausea, Dizziness, Stomach pain, Loss of appetite, Metallic taste, Headache, Diarrhea, Trembling, Hypoglycemia (low blood glucose level)"
 Acebrophylline ,"Increased heart rate, Tremor, Hives, Fatigue, Loss of appetite, Skin rash, Increased white blood cell count, Nasal inflammation, Dryness in mouth, Vomiting, Nausea, Constipation, Stomach pain, Sleepiness, Drowsiness, Diarrhea, Flu-like symptoms, Dizziness, Itching, Headache, Insomnia (difficulty in sleeping), Irritation, Breathing problems, Rash, Heartburn"
 Aceclofenac ,"Vomiting, Nausea, Dizziness, Stomach pain, Loss of appetite, Stomach pain/epigastric pain, Feeling thirsty, Dryness in mouth, Sleepiness, Diarrhea, Heartburn"
 Acetic acid ,Limited data available
 Acetylcysteine ,"Hives, Vomiting, Nausea, Stomach pain, Fever, Itching, Upset stomach, Breathing problems, Rash, Nasal inflammation, Increased white blood cell count, Drowsiness, Heartburn"
 Adapalene ,"Dryness, Erythema (skin redness), Itching, Burning sensation at the site of application, Skin irritation"
 Allantoin ,No common side effects seen
 Aluminium Hydroxide ,"Constipation, Diarrhea, Allergic reaction"
 Ambroxol ,"Increased heart rate, Vomiting, Nausea, Dizziness, Insomnia (difficulty in sleeping), Fatigue, Upset stomach, Allergic reaction, Stomach pain/epigastric pain, Irritation, Dryness in mouth, Headache, Diarrhea, Sedation"
 Amlodipine ,"ears, Altered blood lipid level, Dizziness, Tiredness, Taste change, Palpitations, Glucose intolerance, Upset stomach, Increased potassium level in blood, Sleepiness, neck and trunk), Increased blood uric acid, Flushing (sense of warmth in the face, Headache, Ankle swelling"
 Ammonium Chloride ,"Indigestion, Hives, Sweating, Vomiting, Dizziness, Nausea, Upset stomach, Bloating, Impaired coordination, Stomach pain/epigastric pain, Allergic reaction, Rash, Sleepiness, Skin rash, Headache, Diarrhea, Thickened respiratory tract secretions"
 Amoxycillin ,"Indigestion, Flatulence, Vomiting, Nausea, Dizziness, Stomach pain, Tiredness, Skin rash, Dryness in mouth, Metallic taste, Headache, Diarrhea"
 Aprepitant ,"Indigestion, Tiredness, Constipation, Hiccup, Loss of appetite, Headache, Increased liver enzymes"
 Arginine ,No common side effects seen
 Aspirin ,"Indigestion, Fatigue, Dizziness, Stomach pain, Flushing of skin, Increased bleeding tendency, Upper respiratory tract infection, Itching, Headache, Diarrhea"
 Astaxanthin ,"Ovarian hyperstimulation syndrome, Vomiting, Nausea, Blurred vision, Upset stomach, Hot flashes, Rash, Ovarian cysts"
 Atorvastatin ,"Indigestion, Increased glucose level in blood, Increased liver enzymes, Bruise, Muscle pain, Nausea, Stomach pain, Gastrointestinal bleeding, Diarrhea, Cough, Dizziness, Increased potassium level in blood, Nosebleeds, Headache, Abdominal pain, Taste change, Decreased blood pressure, Increased bleeding tendency, Weakness"
 Atropine ,"Indigestion, Dizziness, Constipation, Flushing of skin, Blurred vision, Difficulty in urination, Dryness in mouth, Drowsiness, Confusion, Bronchoconstriction (constriction of air passages), Cough"
 Azelastine ,"Nosebleeds, Headache, Taste change"
 Azithromycin ,"Indigestion, Vomiting, Nausea, Dizziness, Stomach pain, Insomnia (difficulty in sleeping), Taste change, Loss of appetite, Rash, Headache, Diarrhea, Vaginal itching, Vaginal infection"
 Bacitracin ,"irritation, itching and redness), Application site reactions (burning"
 Beclometasone ,"Fungal infection of mouth, itching and redness), Hoarseness of voice, Sore throat, Thinning of skin, Skin peeling, irritation, Ear discomfort, Application site irritation, Irritation of ear, Burning sensation in eye, Respiratory tract infection, No common side effects seen, Application site reactions (burning, Headache, Muscle cramp"
